platform,M_eV,deltaV,dt_s,dL_m
photon,0.01,0.001,6.582119569e-17,1.9732698044404106e-08
electron,0.01,0.001,6.582119569e-17,6.582119569e-10
neutron,0.01,0.001,6.582119569e-17,1.44806630518e-13
photon,0.03,0.001,2.1940398563333336e-17,6.57756601480137e-09
electron,0.03,0.001,2.1940398563333336e-17,2.1940398563333338e-10
neutron,0.03,0.001,2.1940398563333336e-17,4.826887683933334e-14
photon,0.1,0.001,6.5821195690000005e-18,1.9732698044404107e-09
electron,0.1,0.001,6.5821195690000005e-18,6.582119569000001e-11
neutron,0.1,0.001,6.5821195690000005e-18,1.44806630518e-14
photon,0.3,0.001,2.1940398563333335e-18,6.577566014801369e-10
electron,0.3,0.001,2.1940398563333335e-18,2.1940398563333334e-11
neutron,0.3,0.001,2.1940398563333335e-18,4.826887683933333e-15
photon,1.0,0.001,6.582119569e-19,1.9732698044404107e-10
electron,1.0,0.001,6.582119569e-19,6.5821195690000006e-12
neutron,1.0,0.001,6.582119569e-19,1.44806630518e-15
